FIPS,year,bachelorsOrMore,someCollege,lessThanHSD,HSDonly
04013,2e3,0.259,0.335,0.175,0.231
04013,2010.0,0.3,0.334,0.134,0.233
04015,1970.0,0.07,0.124,0.423,0.383
04015,1980.0,0.088,0.181,0.309,0.421
04015,1990.0,0.103,0.286,0.272,0.339
04015,2e3,0.099,0.327,0.225,0.349
04015,2010.0,0.122,0.37,0.161,0.347
04017,1970.0,0.069,0.088,0.585,0.258
04017,1980.0,0.112,0.164,0.403,0.321
04017,1990.0,0.1,0.261,0.354,0.285
04017,2e3,0.123,0.312,0.288,0.277
04017,2010.0,0.145,0.375,0.19,0.29
04019,1970.0,0.157,0.142,0.369,0.332
04019,1980.0,0.207,0.21,0.254,0.329
04019,1990.0,0.233,0.323,0.195,0.25
04019,2e3,0.267,0.334,0.166,0.233
04019,2010.0,0.301,0.346,0.125,0.228
04021,1970.0,0.077,0.077,0.578,0.268
04021,1980.0,0.093,0.137,0.45,0.32
04021,1990.0,0.082,0.263,0.345,0.31
04021,2e3,0.119,0.304,0.273,0.304
04021,2010.0,0.178,0.371,0.151,0.299
04023,1970.0,0.091,0.121,0.565,0.223
04023,1980.0,0.132,0.157,0.46,0.252
04023,1990.0,0.108,0.209,0.428,0.255
04023,2e3,0.152,0.227,0.393,0.228
04023,2010.0,0.22,0.252,0.269,0.259
04025,1970.0,0.113,0.127,0.45,0.309
04025,1980.0,0.162,0.2,0.261,0.377
04025,1990.0,0.177,0.318,0.211,0.293
04025,2e3,0.211,0.354,0.153,0.282
04025,2010.0,0.249,0.391,0.101,0.259
04027,1970.0,0.087,0.118,0.497,0.298
04027,1980.0,0.109,0.165,0.384,0.342
04027,1990.0,0.127,0.259,0.351,0.263
04027,2e3,0.118,0.282,0.342,0.257
04027,2010.0,0.14,0.324,0.283,0.253
05000,1970.0,0.067,0.076,0.601,0.256
05000,1980.0,0.108,0.115,0.445,0.332
05000,1990.0,0.133,0.203,0.337,0.327
05000,2e3,0.167,0.245,0.247,0.341
05000,2010.0,0.206,0.287,0.157,0.35
05001,1970.0,0.054,0.067,0.628,0.251
05001,1980.0,0.081,0.09,0.512,0.317
05001,1990.0,0.103,0.158,0.389,0.351
05001,2e3,0.122,0.204,0.276,0.398
05001,2010.0,0.139,0.254,0.168,0.44
05003,1970.0,0.06,0.069,0.602,0.27
05003,1980.0,0.077,0.084,0.477,0.362
05003,1990.0,0.093,0.149,0.372,0.386
05003,2e3,0.101,0.192,0.275,0.432
05003,2010.0,0.127,0.285,0.152,0.435
05005,1970.0,0.057,0.117,0.539,0.286
05005,1980.0,0.09,0.097,0.427,0.386
05005,1990.0,0.104,0.22,0.321,0.356
05005,2e3,0.128,0.272,0.225,0.375
05005,2010.0,0.174,0.339,0.13,0.357
05007,1970.0,0.062,0.086,0.566,0.286
05007,1980.0,0.118,0.13,0.382,0.37
05007,1990.0,0.144,0.247,0.252,0.357
05007,2e3,0.203,0.273,0.196,0.328
05007,2010.0,0.296,0.262,0.136,0.307
05009,1970.0,0.072,0.075,0.561,0.293
05009,1980.0,0.098,0.121,0.403,0.377
05009,1990.0,0.107,0.212,0.324,0.358
05009,2e3,0.127,0.292,0.232,0.35
05009,2010.0,0.151,0.332,0.151,0.366
05011,1970.0,0.043,0.047,0.674,0.235
05011,1980.0,0.08,0.063,0.534,0.322
05011,1990.0,0.098,0.118,0.439,0.346
05011,2e3,0.119,0.179,0.334,0.368
05011,2010.0,0.112,0.252,0.206,0.43
