FIPS,uninsured_rate_2013,uninsured_rate_2016,change
17011,0.16,0.05,-0.11
17013,0.13,0.05,-0.08
17015,0.16,0.05,-0.11
17017,0.19,0.07,-0.12
17019,0.16,0.05,-0.11
17021,0.16,0.05,-0.11
17023,0.17,0.07,-0.1
17025,0.18,0.07,-0.11
17027,0.12,0.04,-0.08
17029,0.2,0.06,-0.14
17031,0.17,0.05,-0.12
17033,0.18,0.05,-0.13
17035,0.17,0.05,-0.12
17037,0.13,0.04,-0.09
17039,0.16,0.04,-0.12
17041,0.16,0.07,-0.09
17043,0.09,0.02,-0.07
17045,0.18,0.05,-0.13
17047,0.18,0.06,-0.12
17049,0.14,0.05,-0.09
17051,0.19,0.07,-0.12
17053,0.15,0.05,-0.1
17055,0.19,0.07,-0.12
17057,0.17,0.05,-0.12
17059,0.18,0.06,-0.12
17061,0.18,0.05,-0.13
17063,0.12,0.03,-0.09
17065,0.19,0.05,-0.14
17067,0.16,0.05,-0.11
17069,0.16,0.05,-0.11
17071,0.15,0.04,-0.11
17073,0.14,0.05,-0.09
17075,0.17,0.05,-0.12
17077,0.21,0.07,-0.14
17079,0.16,0.05,-0.11
17081,0.18,0.07,-0.11
17083,0.13,0.04,-0.09
17085,0.13,0.05,-0.08
17087,0.16,0.06,-0.1
17089,0.13,0.04,-0.09
17091,0.17,0.06,-0.11
17093,0.08,0.02,-0.06
17095,0.17,0.06,-0.11
17097,0.11,0.03,-0.08
17099,0.15,0.04,-0.11
17101,0.2,0.06,-0.14
17103,0.14,0.05,-0.09
17105,0.14,0.05,-0.09
17107,0.14,0.06,-0.09
17109,0.18,0.06,-0.12
17111,0.09,0.02,-0.07
17113,0.12,0.04,-0.08
17115,0.17,0.07,-0.1
17117,0.16,0.05,-0.11
17119,0.15,0.05,-0.1
17121,0.18,0.07,-0.11
17123,0.15,0.05,-0.1
17125,0.17,0.06,-0.11
17127,0.19,0.07,-0.12
17129,0.13,0.04,-0.09
17131,0.14,0.04,-0.1
17133,0.09,0.03,-0.06
17135,0.16,0.06,-0.1
17137,0.16,0.08,-0.08
17139,0.16,0.06,-0.1
17141,0.14,0.04,-0.1
17143,0.16,0.05,-0.11
17145,0.17,0.06,-0.11
17147,0.11,0.05,-0.06
17149,0.18,0.06,-0.12
17151,0.17,0.06,-0.11
17153,0.22,0.09,-0.13
17155,0.14,0.03,-0.11
17157,0.16,0.06,-0.11
17159,0.17,0.05,-0.12
17161,0.16,0.06,-0.1
17163,0.17,0.06,-0.11
17165,0.19,0.07,-0.12
17167,0.14,0.05,-0.09
17169,0.17,0.05,-0.12
17171,0.13,0.04,-0.09
17173,0.16,0.05,-0.11
17175,0.18,0.05,-0.13
17177,0.16,0.07,-0.09
17179,0.12,0.04,-0.08
17181,0.18,0.07,-0.11
17183,0.2,0.06,-0.14
17185,0.18,0.05,-0.13
17187,0.18,0.06,-0.12
17189,0.13,0.05,-0.09
17191,0.16,0.07,-0.09
17193,0.18,0.07,-0.12
17195,0.16,0.06,-0.1
17197,0.1,0.03,-0.07
17199,0.17,0.06,-0.12
17201,0.17,0.06,-0.11
17203,0.1,0.03,-0.07
18001,0.16,0.09,-0.08
18003,0.17,0.09,-0.08
18005,0.15,0.07,-0.08
18007,0.16,0.06,-0.1
18009,0.21,0.07,-0.14
18011,0.09,0.04,-0.06
18013,0.15,0.07,-0.08
18015,0.15,0.05,-0.1
18017,0.19,0.09,-0.11
18019,0.18,0.07,-0.12
18021,0.17,0.06,-0.11
18023,0.17,0.08,-0.09
18025,0.21,0.09,-0.12
18027,0.2,0.11,-0.09
18029,0.14,0.05,-0.09
18031,0.17,0.06,-0.11
18033,0.19,0.07,-0.12
18035,0.2,0.07,-0.13
18037,0.13,0.06,-0.07
18039,0.2,0.13,-0.07
18041,0.2,0.09,-0.11
18043,0.15,0.06,-0.1
18045,0.18,0.08,-0.1
18047,0.15,0.05,-0.1
18049,0.19,0.09,-0.1
18051,0.16,0.05,-0.11
18053,0.2,0.08,-0.12
18055,0.22,0.08,-0.14
18057,0.08,0.03,-0.05
18059,0.11,0.05,-0.06
18061,0.15,0.05,-0.1
18063,0.1,0.04,-0.07
18065,0.18,0.07,-0.11
18067,0.17,0.07,-0.1
18069,0.16,0.07,-0.09
18071,0.17,0.09,-0.08
18073,0.15,0.06,-0.09
18075,0.2,0.09,-0.11
18077,0.18,0.07,-0.11
18079,0.2,0.07,-0.13
18081,0.12,0.05,-0.07
18083,0.2,0.07,-0.13
18085,0.18,0.08,-0.1
18087,0.18,0.2,0.02
18089,0.2,0.08,-0.13
18091,0.19,0.08,-0.11
18093,0.19,0.08,-0.11
18095,0.2,0.08,-0.12
18097,0.2,0.09,-0.11
18099,0.18,0.08,-0.1
18101,0.19,0.06,-0.13
18103,0.2,0.08,-0.12
18105,0.19,0.07,-0.12
18107,0.17,0.07,-0.1
18109,0.14,0.05,-0.09
18111,0.18,0.09,-0.1
18113,0.19,0.09,-0.1
18115,0.16,0.06,-0.1
18117,0.21,0.08,-0.13
18119,0.2,0.07,-0.13
18121,0.21,0.1,-0.11
18123,0.16,0.05,-0.11
18125,0.17,0.07,-0.1
18127,0.14,0.05,-0.09
18129,0.13,0.05,-0.08
18131,0.18,0.06,-0.12
18133,0.17,0.07,-0.11
18135,0.21,0.09,-0.12
18137,0.16,0.08,-0.08
18139,0.17,0.07,-0.1
18141,0.18,0.08,-0.1
18143,0.21,0.08,-0.13
18145,0.15,0.06,-0.09
18147,0.14,0.05,-0.09
18149,0.21,0.08,-0.13
18151,0.18,0.07,-0.11
18153,0.19,0.06,-0.13
18155,0.23,0.08,-0.15
18157,0.17,0.07,-0.1
18159,0.15,0.06,-0.1
18161,0.18,0.06,-0.12
18163,0.18,0.07,-0.11
18165,0.18,0.06,-0.12
18167,0.2,0.07,-0.13
18169,0.18,0.08,-0.1
18171,0.16,0.06,-0.1
18173,0.12,0.04,-0.08
18175,0.2,0.08,-0.12
18177,0.2,0.09,-0.11
18179,0.16,0.06,-0.1
18181,0.18,0.08,-0.1
18183,0.15,0.06,-0.09
19001,0.15,0.06,-0.09
19003,0.17,0.06,-0.11
19005,0.16,0.07,-0.09
19007,0.2,0.07,-0.13
19009,0.14,0.06,-0.08
19011,0.11,0.05,-0.06
19013,0.15,0.06,-0.09
19015,0.11,0.05,-0.06
19017,0.12,0.04,-0.08
19019,0.13,0.05,-0.08
19021,0.18,0.09,-0.09
19023,0.13,0.05,-0.08
19025,0.16,0.05,-0.11
19027,0.13,0.05,-0.08
19029,0.15,0.07,-0.09
19031,0.11,0.04,-0.07
19033,0.14,0.05,-0.09
19035,0.14,0.05,-0.09
19037,0.14,0.05,-0.09
19039,0.16,0.06,-0.1
19041,0.13,0.05,-0.08
19043,0.14,0.05,-0.09
19045,0.15,0.06,-0.09
19047,0.18,0.09,-0.09
19049,0.09,0.03,-0.06
19051,0.16,0.09,-0.07
19053,0.2,0.07,-0.13
19055,0.12,0.04,-0.08
19057,0.16,0.06,-0.1
19059,0.12,0.05,-0.08
19061,0.13,0.05,-0.08
19063,0.17,0.07,-0.1
19065,0.15,0.06,-0.09
19067,0.16,0.05,-0.11
19069,0.15,0.07,-0.08
19071,0.15,0.05,-0.1
19073,0.15,0.05,-0.1
19075,0.11,0.04,-0.07
19077,0.13,0.05,-0.08
19079,0.15,0.06,-0.09
19081,0.14,0.06,-0.08
19083,0.15,0.06,-0.09
19085,0.13,0.05,-0.08
19087,0.16,0.06,-0.1
19089,0.16,0.06,-0.1
19091,0.15,0.06,-0.09
19093,0.14,0.06,-0.08
19095,0.12,0.04,-0.08
19097,0.14,0.05,-0.09
19099,0.12,0.05,-0.07
19101,0.17,0.06,-0.11
19103,0.14,0.04,-0.1
19105,0.13,0.05,-0.08
19107,0.16,0.06,-0.1
19109,0.14,0.05,-0.1
19111,0.17,0.06,-0.11
19113,0.11,0.04,-0.07
19115,0.17,0.08,-0.09
19117,0.18,0.07,-0.11
19119,0.12,0.05,-0.07
19121,0.11,0.04,-0.08
19123,0.16,0.06,-0.1
19125,0.11,0.04,-0.07
19127,0.15,0.07,-0.08
19129,0.12,0.04,-0.08
19131,0.13,0.06,-0.07
19133,0.16,0.07,-0.09
19135,0.18,0.07,-0.12
19137,0.17,0.07,-0.1
19139,0.15,0.06,-0.09
19141,0.13,0.06,-0.07
19143,0.14,0.07,-0.07
19145,0.16,0.07,-0.1
19147,0.16,0.06,-0.1
19149,0.11,0.05,-0.06
19151,0.16,0.05,-0.11
19153,0.12,0.04,-0.08
19155,0.15,0.06,-0.09
19157,0.15,0.05,-0.1
